seqnames	start	end	width	strand	ploidy	sample.id	asm.id
chr1	103656467	103675634	19168	*	1n	NA12877	verkko
chr1	103675635	103704863	29229	*	2n	NA12877	verkko
chr1	103704864	103714089	9226	*	1n	NA12877	verkko
chr1	103721236	103750596	29361	*	2n	NA12877	verkko
chr1	103750597	103769764	19168	*	1n	NA12877	verkko
chr1	103769765	108307240	4537476	*	2n	NA12877	verkko
chr1	108307241	108307246	6	*	multi	NA12877	verkko
chr1	108307247	108342250	35004	*	multi	NA12877	verkko
chr1	108342251	108418951	76701	*	2n	NA12877	verkko
chr1	108453946	120321301	11867356	*	2n	NA12877	verkko
chr1	120321302	120344206	22905	*	1n	NA12877	verkko
chr1	120344207	120603577	259371	*	2n	NA12877	verkko
chr1	120603578	120933572	329995	*	1n	NA12877	verkko
chr1	120933573	121634606	701034	*	2n	NA12877	verkko
chr1	121634607	121634607	1	*	multi	NA12877	verkko
chr1	121634608	121665012	30405	*	2n	NA12877	verkko
chr1	121665013	121665013	1	*	multi	NA12877	verkko
chr1	121665014	121813057	148044	*	2n	NA12877	verkko
chr1	121813058	122019564	206507	*	1n	NA12877	verkko
chr1	122025833	122065911	40079	*	1n	NA12877	verkko
chr1	122065912	122102829	36918	*	2n	NA12877	verkko
chr1	122102830	122148031	45202	*	1n	NA12877	verkko
chr1	122160952	122223195	62244	*	1n	NA12877	verkko
chr1	122302079	122346075	43997	*	1n	NA12877	verkko
chr1	122504485	122538885	34401	*	1n	NA12877	verkko
chr1	122602259	122622580	20322	*	1n	NA12877	verkko
chr1	122630058	122665944	35887	*	1n	NA12877	verkko
chr1	122786250	122813514	27265	*	1n	NA12877	verkko
chr1	122996706	123009197	12492	*	1n	NA12877	verkko
chr1	123009198	123038535	29338	*	multi	NA12877	verkko
chr1	123038536	123038553	18	*	1n	NA12877	verkko
chr1	123072497	123085370	12874	*	1n	NA12877	verkko
chr1	123085371	123097815	12445	*	multi	NA12877	verkko
chr1	123097816	123118909	21094	*	1n	NA12877	verkko
chr1	123409234	123448821	39588	*	1n	NA12877	verkko
chr1	123499485	123530232	30748	*	1n	NA12877	verkko
chr1	123601137	123614921	13785	*	1n	NA12877	verkko
chr1	123614922	123627657	12736	*	multi	NA12877	verkko
chr1	123627658	123629742	2085	*	1n	NA12877	verkko
chr1	123629743	123641976	12234	*	multi	NA12877	verkko
chr1	123641977	123647737	5761	*	1n	NA12877	verkko
chr1	123647738	123659864	12127	*	multi	NA12877	verkko
chr1	123659865	123684186	24322	*	1n	NA12877	verkko
chr1	123740050	123772205	32156	*	1n	NA12877	verkko
chr1	123872925	123933341	60417	*	1n	NA12877	verkko
chr1	123933342	123933342	1	*	multi	NA12877	verkko
chr1	123933343	124076728	143386	*	1n	NA12877	verkko
chr1	124076729	124093212	16484	*	2n	NA12877	verkko
chr1	124093213	124127359	34147	*	multi	NA12877	verkko
chr1	124127360	124130517	3158	*	2n	NA12877	verkko
chr1	124130518	124167509	36992	*	1n	NA12877	verkko
chr1	124174816	124201763	26948	*	1n	NA12877	verkko
chr1	124201764	124240057	38294	*	multi	NA12877	verkko
chr1	124240058	124261695	21638	*	2n	NA12877	verkko
chr1	124261696	124270130	8435	*	1n	NA12877	verkko
chr1	124270131	124270131	1	*	multi	NA12877	verkko
chr1	124270132	124351022	80891	*	1n	NA12877	verkko
chr1	124353061	124416622	63562	*	1n	NA12877	verkko
chr1	124416623	124430225	13603	*	2n	NA12877	verkko
chr1	124430226	124458547	28322	*	multi	NA12877	verkko
chr1	124458548	124466366	7819	*	1n	NA12877	verkko
chr1	124467805	124484300	16496	*	1n	NA12877	verkko
chr1	124484301	124500712	16412	*	multi	NA12877	verkko
chr1	124500713	124515328	14616	*	1n	NA12877	verkko
chr1	124565209	124595513	30305	*	1n	NA12877	verkko
chr1	124655118	124676868	21751	*	1n	NA12877	verkko
chr1	124676869	124684390	7522	*	2n	NA12877	verkko
chr1	124684391	124705201	20811	*	1n	NA12877	verkko
chr1	124705202	124710451	5250	*	multi	NA12877	verkko
chr1	124710452	124741707	31256	*	1n	NA12877	verkko
chr1	124776795	124806677	29883	*	1n	NA12877	verkko
chr1	124868045	124894557	26513	*	1n	NA12877	verkko
chr1	124923574	124953633	30060	*	1n	NA12877	verkko
chr1	124955622	124988544	32923	*	1n	NA12877	verkko
chr1	125068812	125098525	29714	*	1n	NA12877	verkko
chr1	125116368	125123857	7490	*	1n	NA12877	verkko
chr1	125123858	125147937	24080	*	multi	NA12877	verkko
chr1	125147938	125157029	9092	*	1n	NA12877	verkko
chr1	125317284	125350993	33710	*	1n	NA12877	verkko
chr1	125418091	125425380	7290	*	1n	NA12877	verkko
chr1	125425381	125465234	39854	*	multi	NA12877	verkko
chr1	125465235	125469163	3929	*	1n	NA12877	verkko
chr1	125649794	125683417	33624	*	1n	NA12877	verkko
chr1	125724107	125758772	34666	*	1n	NA12877	verkko
chr1	125873744	125898759	25016	*	1n	NA12877	verkko
chr1	125898760	125929149	30390	*	2n	NA12877	verkko
chr1	125929150	125930541	1392	*	1n	NA12877	verkko
chr1	125940690	125943145	2456	*	1n	NA12877	verkko
chr1	125956057	126043783	87727	*	1n	NA12877	verkko
chr1	126228828	126265613	36786	*	1n	NA12877	verkko
chr1	126289247	126393734	104488	*	1n	NA12877	verkko
chr1	126393735	126577373	183639	*	2n	NA12877	verkko
chr1	126577374	126577374	1	*	multi	NA12877	verkko
chr1	126577375	126593504	16130	*	2n	NA12877	verkko
chr1	126593505	126593505	1	*	multi	NA12877	verkko
chr1	126593506	126611453	17948	*	2n	NA12877	verkko
chr1	126611454	126611454	1	*	multi	NA12877	verkko
chr1	126611455	126623735	12281	*	2n	NA12877	verkko
chr1	126623736	126623736	1	*	multi	NA12877	verkko
chr1	126623737	126641704	17968	*	2n	NA12877	verkko
chr1	126647811	126698194	50384	*	2n	NA12877	verkko
chr1	126698195	126698195	1	*	multi	NA12877	verkko
chr1	126698196	126950200	252005	*	2n	NA12877	verkko
chr1	126950201	126960296	10096	*	multi	NA12877	verkko
chr1	126960297	126985144	24848	*	2n	NA12877	verkko
chr1	126985145	127018551	33407	*	1n	NA12877	verkko
chr1	127018552	127043475	24924	*	2n	NA12877	verkko
chr1	127043476	127085222	41747	*	multi	NA12877	verkko
chr1	127085223	127093430	8208	*	1n	NA12877	verkko
chr1	127093431	127095104	1674	*	multi	NA12877	verkko
chr1	127095105	127115747	20643	*	1n	NA12877	verkko
chr1	127115748	127118414	2667	*	2n	NA12877	verkko
chr1	127118415	127124469	6055	*	multi	NA12877	verkko
chr1	127124470	127129222	4753	*	2n	NA12877	verkko
chr1	127129223	127129223	1	*	multi	NA12877	verkko
chr1	127129224	127130188	965	*	2n	NA12877	verkko
chr1	127130189	127130189	1	*	multi	NA12877	verkko
chr1	127130190	127206016	75827	*	2n	NA12877	verkko
chr1	127206017	127218960	12944	*	multi	NA12877	verkko
chr1	127218961	127218961	1	*	multi	NA12877	verkko
chr1	127218962	127237163	18202	*	multi	NA12877	verkko
chr1	127237164	127240333	3170	*	2n	NA12877	verkko
chr1	127240334	127253057	12724	*	1n	NA12877	verkko
chr1	127253058	127257826	4769	*	2n	NA12877	verkko
chr1	127257827	127270422	12596	*	1n	NA12877	verkko
chr1	127270423	127279704	9282	*	2n	NA12877	verkko
chr1	127279705	127279705	1	*	multi	NA12877	verkko
chr1	127279706	127310200	30495	*	2n	NA12877	verkko
chr1	127310201	127356712	46512	*	1n	NA12877	verkko
chr1	127356713	127385143	28431	*	2n	NA12877	verkko
chr1	127385144	127663539	278396	*	1n	NA12877	verkko
chr1	127663540	127663540	1	*	multi	NA12877	verkko
chr1	127663541	127769450	105910	*	1n	NA12877	verkko
chr1	127769451	128024558	255108	*	2n	NA12877	verkko
chr1	128024559	128171787	147229	*	1n	NA12877	verkko
chr1	128171788	128224866	53079	*	multi	NA12877	verkko
chr1	128224867	128234893	10027	*	2n	NA12877	verkko
chr1	128234894	128235911	1018	*	multi	NA12877	verkko
chr1	128235912	128244109	8198	*	2n	NA12877	verkko
chr1	128244110	128244110	1	*	multi	NA12877	verkko
chr1	128244111	128245938	1828	*	2n	NA12877	verkko
chr1	128245939	128291940	46002	*	multi	NA12877	verkko
chr1	128291941	128310366	18426	*	2n	NA12877	verkko
chr1	128310367	128342456	32090	*	multi	NA12877	verkko
chr1	128342457	128360495	18039	*	2n	NA12877	verkko
chr1	128360496	128379011	18516	*	multi	NA12877	verkko
chr1	128379012	128612894	233883	*	2n	NA12877	verkko
chr1	128612895	128718485	105591	*	multi	NA12877	verkko
chr1	128718486	128740255	21770	*	2n	NA12877	verkko
chr1	128740256	128745098	4843	*	multi	NA12877	verkko
chr1	128745099	128757876	12778	*	2n	NA12877	verkko
chr1	128757877	128836356	78480	*	multi	NA12877	verkko
chr1	128836357	128906849	70493	*	2n	NA12877	verkko
chr1	128906850	128995864	89015	*	multi	NA12877	verkko
chr1	128995865	129043060	47196	*	1n	NA12877	verkko
chr1	129043061	129073138	30078	*	2n	NA12877	verkko
chr1	129073139	129093338	20200	*	multi	NA12877	verkko
chr1	129093339	129093339	1	*	multi	NA12877	verkko
chr1	129093340	129102070	8731	*	multi	NA12877	verkko
chr1	129102071	129116153	14083	*	2n	NA12877	verkko
chr1	129116154	129245081	128928	*	1n	NA12877	verkko
chr1	129245082	129246589	1508	*	2n	NA12877	verkko
chr1	129246590	129279416	32827	*	multi	NA12877	verkko
chr1	129279417	129283094	3678	*	2n	NA12877	verkko
chr1	129283095	129289775	6681	*	multi	NA12877	verkko
chr1	129289776	129289776	1	*	multi	NA12877	verkko
chr1	129289777	129298275	8499	*	multi	NA12877	verkko
chr1	129298276	129310821	12546	*	2n	NA12877	verkko
chr1	129310822	129310822	1	*	multi	NA12877	verkko
chr1	129310823	129323430	12608	*	2n	NA12877	verkko
chr1	129323431	129363507	40077	*	1n	NA12877	verkko
chr1	129363508	129392353	28846	*	2n	NA12877	verkko
chr1	129392354	129397441	5088	*	1n	NA12877	verkko
chr1	129397442	129429771	32330	*	2n	NA12877	verkko
chr1	129429772	129441453	11682	*	1n	NA12877	verkko
chr1	129441454	129442162	709	*	2n	NA12877	verkko
chr1	129442163	129442353	191	*	multi	NA12877	verkko
chr1	129442354	129452171	9818	*	2n	NA12877	verkko
chr1	129452172	129507874	55703	*	multi	NA12877	verkko
chr1	129507875	129510603	2729	*	2n	NA12877	verkko
chr1	129510604	129559415	48812	*	1n	NA12877	verkko
chr1	129559416	129593241	33826	*	multi	NA12877	verkko
chr1	129593242	129613898	20657	*	1n	NA12877	verkko
chr1	129613899	129645221	31323	*	multi	NA12877	verkko
chr1	129650152	129655631	5480	*	1n	NA12877	verkko
chr1	129655632	129695559	39928	*	multi	NA12877	verkko
chr1	129695560	129718222	22663	*	multi	NA12877	verkko
chr1	129718223	129747823	29601	*	multi	NA12877	verkko
chr1	129747824	129749711	1888	*	1n	NA12877	verkko
chr1	129749712	129772747	23036	*	multi	NA12877	verkko
chr1	129772748	129781646	8899	*	1n	NA12877	verkko
chr1	129813405	129835081	21677	*	1n	NA12877	verkko
chr1	129851066	129857426	6361	*	1n	NA12877	verkko
chr1	129857427	129882375	24949	*	multi	NA12877	verkko
chr1	129882376	129888213	5838	*	1n	NA12877	verkko
chr1	129913048	129939177	26130	*	1n	NA12877	verkko
chr1	129945883	129975178	29296	*	1n	NA12877	verkko
chr1	129975179	129975179	1	*	multi	NA12877	verkko
chr1	129975180	130005700	30521	*	1n	NA12877	verkko
chr1	130262198	130295555	33358	*	1n	NA12877	verkko
chr1	130389336	130420264	30929	*	1n	NA12877	verkko
chr1	130574151	130606558	32408	*	1n	NA12877	verkko
chr1	131427713	131444522	16810	*	1n	NA12877	verkko
chr1	131736960	131767835	30876	*	1n	NA12877	verkko
chr1	132097243	132176311	79069	*	1n	NA12877	verkko
chr1	132198852	132218339	19488	*	1n	NA12877	verkko
chr1	132218340	132225996	7657	*	multi	NA12877	verkko
chr1	132225997	132234339	8343	*	1n	NA12877	verkko
chr1	132234340	132304400	70061	*	multi	NA12877	verkko
chr1	132304401	132304864	464	*	1n	NA12877	verkko
chr1	132733799	132763804	30006	*	1n	NA12877	verkko
chr1	132800207	132821146	20940	*	1n	NA12877	verkko
chr1	132821147	132831648	10502	*	multi	NA12877	verkko
chr1	132831649	132852700	21052	*	1n	NA12877	verkko
chr1	132858259	132885274	27016	*	1n	NA12877	verkko
chr1	133256720	133286022	29303	*	1n	NA12877	verkko
chr1	133668422	133686384	17963	*	1n	NA12877	verkko
chr1	133686385	133696663	10279	*	2n	NA12877	verkko
chr1	133696664	133706490	9827	*	1n	NA12877	verkko
chr1	133774424	133782333	7910	*	1n	NA12877	verkko
chr1	133782334	133797659	15326	*	multi	NA12877	verkko
chr1	133797660	133806706	9047	*	1n	NA12877	verkko
chr1	133862450	133886707	24258	*	1n	NA12877	verkko
chr1	134385598	134486981	101384	*	1n	NA12877	verkko
chr1	134523008	134620123	97116	*	1n	NA12877	verkko
chr1	134898013	134927980	29968	*	1n	NA12877	verkko
chr1	134934845	134966838	31994	*	1n	NA12877	verkko
chr1	135120932	135121023	92	*	1n	NA12877	verkko
chr1	135121024	135146641	25618	*	multi	NA12877	verkko
chr1	135146642	135149854	3213	*	1n	NA12877	verkko
chr1	135338173	135374245	36073	*	1n	NA12877	verkko
chr1	135730504	135768604	38101	*	1n	NA12877	verkko
chr1	135997367	136014365	16999	*	1n	NA12877	verkko
chr1	136142346	136174953	32608	*	1n	NA12877	verkko
chr1	136315236	136318389	3154	*	1n	NA12877	verkko
chr1	136318390	136341037	22648	*	multi	NA12877	verkko
chr1	136341038	136344620	3583	*	1n	NA12877	verkko
chr1	136873352	136889285	15934	*	1n	NA12877	verkko
chr1	137116293	137139165	22873	*	1n	NA12877	verkko
chr1	137195686	137221235	25550	*	1n	NA12877	verkko
chr1	137289094	137317237	28144	*	1n	NA12877	verkko
chr1	137317238	137320292	3055	*	multi	NA12877	verkko
chr1	137320293	137346382	26090	*	1n	NA12877	verkko
chr1	137439635	137466648	27014	*	1n	NA12877	verkko
chr1	137568018	137600922	32905	*	1n	NA12877	verkko
chr1	137614895	137647841	32947	*	1n	NA12877	verkko
chr1	137826464	137851056	24593	*	1n	NA12877	verkko
chr1	138195564	138215964	20401	*	1n	NA12877	verkko
chr1	138215965	138274980	59016	*	multi	NA12877	verkko
chr1	138274981	138275628	648	*	1n	NA12877	verkko
chr1	138411152	138446909	35758	*	1n	NA12877	verkko
chr1	138467321	138474182	6862	*	1n	NA12877	verkko
chr1	138474183	138495805	21623	*	multi	NA12877	verkko
chr1	138495806	138500054	4249	*	1n	NA12877	verkko
chr1	138530509	138565945	35437	*	1n	NA12877	verkko
chr1	138565946	138598118	32173	*	multi	NA12877	verkko
chr1	138598119	138605190	7072	*	1n	NA12877	verkko
chr1	138605191	138617623	12433	*	multi	NA12877	verkko
chr1	138617624	138625130	7507	*	1n	NA12877	verkko
chr1	138691742	138706118	14377	*	1n	NA12877	verkko
chr1	138965398	138987078	21681	*	1n	NA12877	verkko
chr1	138987079	138992213	5135	*	multi	NA12877	verkko
chr1	138992214	139010311	18098	*	1n	NA12877	verkko
chr1	139010312	139017825	7514	*	multi	NA12877	verkko
chr1	139017826	139035375	17550	*	1n	NA12877	verkko
chr1	139088743	139100734	11992	*	1n	NA12877	verkko
chr1	139100735	139128954	28220	*	multi	NA12877	verkko
chr1	139128955	139135020	6066	*	1n	NA12877	verkko
chr1	139222860	139252244	29385	*	1n	NA12877	verkko
chr1	139263604	139351664	88061	*	1n	NA12877	verkko
chr1	139377561	139401915	24355	*	1n	NA12877	verkko
chr1	139401916	139411630	9715	*	2n	NA12877	verkko
chr1	139411631	139415351	3721	*	1n	NA12877	verkko
chr1	139415352	139422430	7079	*	multi	NA12877	verkko
chr1	139422431	139439040	16610	*	1n	NA12877	verkko
chr1	139456403	139463738	7336	*	1n	NA12877	verkko
chr1	139463739	139494451	30713	*	multi	NA12877	verkko
chr1	139494452	139497109	2658	*	1n	NA12877	verkko
chr1	139499028	139505668	6641	*	1n	NA12877	verkko
chr1	139517948	139539936	21989	*	1n	NA12877	verkko
chr1	139539937	139566999	27063	*	multi	NA12877	verkko
chr1	139567000	139569429	2430	*	1n	NA12877	verkko
chr1	139628093	139730218	102126	*	1n	NA12877	verkko
chr1	139730219	139730297	79	*	multi	NA12877	verkko
chr1	139730298	139764990	34693	*	1n	NA12877	verkko
chr1	139764991	139797517	32527	*	multi	NA12877	verkko
chr1	139797518	139800466	2949	*	1n	NA12877	verkko
chr1	139813162	139938533	125372	*	1n	NA12877	verkko
chr1	139940305	139977003	36699	*	1n	NA12877	verkko
chr1	139997497	140219406	221910	*	1n	NA12877	verkko
chr1	140235384	140280808	45425	*	1n	NA12877	verkko
chr1	140290303	140308911	18609	*	1n	NA12877	verkko
chr1	140344262	140396302	52041	*	1n	NA12877	verkko
chr1	140396303	140396303	1	*	multi	NA12877	verkko
chr1	140396304	140592980	196677	*	1n	NA12877	verkko
chr1	140592981	140592981	1	*	multi	NA12877	verkko
chr1	140592982	140638711	45730	*	1n	NA12877	verkko
chr1	140646582	140675500	28919	*	1n	NA12877	verkko
chr1	140686974	140708606	21633	*	1n	NA12877	verkko
chr1	140708607	140708607	1	*	multi	NA12877	verkko
chr1	140708608	140776325	67718	*	1n	NA12877	verkko
chr1	140776326	140778935	2610	*	multi	NA12877	verkko
chr1	140778936	140866343	87408	*	1n	NA12877	verkko
chr1	140897125	140928644	31520	*	1n	NA12877	verkko
chr1	140928645	140929577	933	*	2n	NA12877	verkko
chr1	140929578	140963159	33582	*	multi	NA12877	verkko
chr1	140963160	140963653	494	*	2n	NA12877	verkko
chr1	140963654	141063734	100081	*	1n	NA12877	verkko
chr1	141063735	141063735	1	*	multi	NA12877	verkko
chr1	141063736	141092379	28644	*	1n	NA12877	verkko
chr1	141105202	141128756	23555	*	1n	NA12877	verkko
chr1	141147314	141157492	10179	*	1n	NA12877	verkko
chr1	141590756	141591548	793	*	1n	NA12877	verkko
chr1	141591549	141626456	34908	*	multi	NA12877	verkko
chr1	141626457	141638270	11814	*	1n	NA12877	verkko
chr1	141638271	141638271	1	*	multi	NA12877	verkko
chr1	141638272	141680164	41893	*	1n	NA12877	verkko
chr1	141702663	141732413	29751	*	1n	NA12877	verkko
chr1	141732414	141764130	31717	*	2n	NA12877	verkko
chr1	141764131	141765006	876	*	1n	NA12877	verkko
chr1	141821303	141858116	36814	*	1n	NA12877	verkko
chr1	141858133	141892859	34727	*	1n	NA12877	verkko
chr1	141910428	141964411	53984	*	1n	NA12877	verkko
chr1	142023421	142213642	190222	*	1n	NA12877	verkko
chr1	142213643	142222283	8641	*	2n	NA12877	verkko
chr1	142222284	142222284	1	*	multi	NA12877	verkko
chr1	142222285	142334916	112632	*	2n	NA12877	verkko
chr1	142334917	142340600	5684	*	1n	NA12877	verkko
chr1	142340601	143969752	1629152	*	2n	NA12877	verkko
chr1	143969753	143969753	1	*	multi	NA12877	verkko
chr1	143969754	144478822	509069	*	2n	NA12877	verkko
chr1	144478823	144478823	1	*	multi	NA12877	verkko
chr1	144478824	145259619	780796	*	2n	NA12877	verkko
chr1	145259620	145299976	40357	*	1n	NA12877	verkko
chr1	145299977	146154467	854491	*	2n	NA12877	verkko
chr1	146154468	146201107	46640	*	multi	NA12877	verkko
chr1	146201108	146234561	33454	*	2n	NA12877	verkko
chr1	146234562	146234562	1	*	multi	NA12877	verkko
chr1	146234563	146511666	277104	*	2n	NA12877	verkko
chr1	146511667	146518891	7225	*	1n	NA12877	verkko
chr1	146518892	147823153	1304262	*	2n	NA12877	verkko
chr1	147823154	147823154	1	*	multi	NA12877	verkko
chr1	147823155	151339200	3516046	*	2n	NA12877	verkko
chr1	151339201	151351193	11993	*	1n	NA12877	verkko
chr1	151351194	160696880	9345687	*	2n	NA12877	verkko
chr1	160696881	160726479	29599	*	1n	NA12877	verkko
chr1	160726480	160930151	203672	*	2n	NA12877	verkko
chr1	160930152	161011972	81821	*	1n	NA12877	verkko
chr1	161011973	168610299	7598327	*	2n	NA12877	verkko
chr1	168610300	168632410	22111	*	1n	NA12877	verkko
chr1	168632411	180429463	11797053	*	2n	NA12877	verkko
chr1	180429686	186850210	6420525	*	2n	NA12877	verkko
chr1	186850211	186850458	248	*	1n	NA12877	verkko
chr1	186850459	196099843	9249385	*	2n	NA12877	verkko
chr1	196099844	196099844	1	*	multi	NA12877	verkko
chr1	196099845	196104581	4737	*	2n	NA12877	verkko
chr1	196104582	196104582	1	*	multi	NA12877	verkko
chr1	196104583	206799869	10695287	*	2n	NA12877	verkko
chr1	206799870	206799870	1	*	multi	NA12877	verkko
chr1	206799871	227724619	20924749	*	2n	NA12877	verkko
chr1	227724620	227745394	20775	*	multi	NA12877	verkko
chr1	227745395	227745515	121	*	2n	NA12877	verkko
chr1	227745516	227756561	11046	*	1n	NA12877	verkko
chr1	227756562	227759749	3188	*	multi	NA12877	verkko
chr1	227759750	227770939	11190	*	1n	NA12877	verkko
chr1	227770940	227772120	1181	*	multi	NA12877	verkko
chr1	227772121	227772122	2	*	2n	NA12877	verkko
chr1	227772123	227783307	11185	*	1n	NA12877	verkko
chr1	227783308	227788849	5542	*	multi	NA12877	verkko
chr1	227788850	227811182	22333	*	1n	NA12877	verkko
chr1	227811183	227853493	42311	*	multi	NA12877	verkko
chr1	227853494	227862591	9098	*	1n	NA12877	verkko
chr1	227862592	227876974	14383	*	multi	NA12877	verkko
chr1	227876975	227877273	299	*	1n	NA12877	verkko
chr1	227877274	227880548	3275	*	multi	NA12877	verkko
chr1	227880549	227890676	10128	*	1n	NA12877	verkko
chr1	227890677	227892248	1572	*	2n	NA12877	verkko
chr1	227892249	227903257	11009	*	1n	NA12877	verkko
chr1	227903258	227910128	6871	*	multi	NA12877	verkko
chr1	227910129	227911553	1425	*	2n	NA12877	verkko
chr1	227911554	227921326	9773	*	1n	NA12877	verkko
chr1	227921327	227938684	17358	*	multi	NA12877	verkko
chr1	227938685	227949622	10938	*	1n	NA12877	verkko
chr1	227949623	227949882	260	*	2n	NA12877	verkko
chr1	227949883	227952788	2906	*	multi	NA12877	verkko
chr1	227952789	227963808	11020	*	2n	NA12877	verkko
chr1	227963809	227997077	33269	*	multi	NA12877	verkko
chr1	227997078	228008272	11195	*	2n	NA12877	verkko
chr1	228008273	228009556	1284	*	multi	NA12877	verkko
chr1	228009557	228010064	508	*	2n	NA12877	verkko
chr1	228010065	228020760	10696	*	1n	NA12877	verkko
chr1	228020761	228140790	120030	*	multi	NA12877	verkko
chr1	228140791	247833945	19693155	*	2n	NA12877	verkko
chr1	247833946	247851116	17171	*	1n	NA12877	verkko
chr1	247851117	248387328	536212	*	2n	NA12877	verkko
chr2	1	1710866	1710866	*	2n	NA12877	verkko
chr2	1710867	1711481	615	*	1n	NA12877	verkko
chr2	1711482	34518669	32807188	*	2n	NA12877	verkko
chr2	34518670	34518670	1	*	multi	NA12877	verkko
chr2	34518671	35756016	1237346	*	2n	NA12877	verkko
chr2	35777174	52935892	17158719	*	2n	NA12877	verkko
chr2	52935893	52951388	15496	*	1n	NA12877	verkko
chr2	52951389	87430368	34478980	*	2n	NA12877	verkko
chr2	87430369	87431267	899	*	1n	NA12877	verkko
chr2	87431268	87434521	3254	*	2n	NA12877	verkko
chr2	87434522	87434522	1	*	multi	NA12877	verkko
chr2	87434523	88986273	1551751	*	2n	NA12877	verkko
chr2	88986274	89741151	754878	*	multi	NA12877	verkko
chr2	89741152	89741746	595	*	1n	NA12877	verkko
chr2	89741747	89744511	2765	*	2n	NA12877	verkko
chr2	89744512	89745308	797	*	multi	NA12877	verkko
chr2	89745309	89951387	206079	*	2n	NA12877	verkko
chr2	89951388	89959015	7628	*	1n	NA12877	verkko
chr2	89959016	89972637	13622	*	2n	NA12877	verkko
chr2	89972638	90851213	878576	*	1n	NA12877	verkko
chr2	90855985	90862897	6913	*	1n	NA12877	verkko
chr2	90873280	90934115	60836	*	1n	NA12877	verkko
chr2	90934845	90936169	1325	*	1n	NA12877	verkko
chr2	90936170	90992906	56737	*	2n	NA12877	verkko
chr2	90992907	91010788	17882	*	1n	NA12877	verkko
chr2	91108768	91111389	2622	*	1n	NA12877	verkko
chr2	91405814	91406256	443	*	1n	NA12877	verkko
chr2	91406257	91442412	36156	*	2n	NA12877	verkko
chr2	91442413	91453645	11233	*	1n	NA12877	verkko
chr2	91463122	91487960	24839	*	1n	NA12877	verkko
chr2	91487961	91537915	49955	*	2n	NA12877	verkko
chr2	91537916	91538059	144	*	multi	NA12877	verkko
chr2	91538060	91595361	57302	*	2n	NA12877	verkko
chr2	91595362	91595458	97	*	1n	NA12877	verkko
chr2	91595459	91596047	589	*	2n	NA12877	verkko
chr2	91596048	91596923	876	*	1n	NA12877	verkko
chr2	91596924	91602334	5411	*	2n	NA12877	verkko
chr2	91602335	91602574	240	*	1n	NA12877	verkko
chr2	91602575	91608564	5990	*	2n	NA12877	verkko
chr2	91608565	91609117	553	*	1n	NA12877	verkko
chr2	91609118	91609195	78	*	2n	NA12877	verkko
chr2	91609196	91609196	1	*	multi	NA12877	verkko
chr2	91609197	91690854	81658	*	2n	NA12877	verkko
chr2	91690855	91692174	1320	*	1n	NA12877	verkko
chr2	91703560	91704499	940	*	1n	NA12877	verkko
chr2	91704500	91996169	291670	*	2n	NA12877	verkko
chr2	92020927	92024506	3580	*	1n	NA12877	verkko
chr2	92024507	92207674	183168	*	2n	NA12877	verkko
chr2	92207675	92211220	3546	*	multi	NA12877	verkko
chr2	92211221	92235998	24778	*	multi	NA12877	verkko
chr2	92235999	92317473	81475	*	2n	NA12877	verkko
chr2	92317474	92317474	1	*	multi	NA12877	verkko
chr2	92317475	92338066	20592	*	2n	NA12877	verkko
chr2	92338067	92348083	10017	*	1n	NA12877	verkko
